id,label
cbf31a6a-5961-4abc-9a3a-58fca0000eab,abs
0e5b1021-6c13-4a52-94b2-d8a3e1ba43a6,back
edf20338-2d7e-4e77-be74-052e6fe45cd7,biceps
d57d8c43-f82c-4601-aec9-be7752309974,calves
9d6385ed-02ea-404b-8c2e-9ce547336ade,chest
8a6067ac-7ca0-442b-b5ef-5f4cd9a7c947,forearms
4c6de44b-f9c1-4b5d-ae27-d9ab941f3ba3,glutes
993e0496-a986-4007-a299-4cf08ac8e1be,hamstrings
7be39e1a-e1b5-4bea-9aee-4b5df8010b64,lower_back
d5edf1ae-9765-4465-8d65-9c00377e7ce8,neck
01d97f15-f837-4eff-aa82-015a692b74c8,obliques
e67bab77-17fa-4281-b3b9-2bf164925465,quads
d49325b3-9d8a-4833-9b8f-12bd1fc54a9f,shoulders
f02ad962-748e-4c28-82f2-3fffe0e0f68e,traps
77919287-d5dd-454f-8760-c9c9322c4533,triceps
